# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2012-2020 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Sun Mar 29 15:41:10 EDT 2020
#
# Fields:
# reference,studyfactors,exposurestressors,receptors,studycountries,mediums,exposuremarkers,diseases,phenotypes,authorsummary
#
26291648,tobacco,Nicotine^D009538^MESH,^^^^Study subjects,United States,,,,reflex^GO:0060004^GO,"A single session of e-cigarette use, approximating nicotine exposure of one tobacco cigarette, induces significant inhibition of cough reflex sensitivity."
26294199,,Particulate Matter^D052638^MESH,^^^^Workers,China,air|serum,CRP^1401^GENE|Particulate Matter^D052638^MESH,Inflammation^D007249^MESH|PULMONARY FUNCTION^608852^OMIM,gene expression^GO:0010467^GO|inflammatory response^GO:0006954^GO,The results indicated that traffic exposure to high levels of Particulate Matter (2.5) was associated with systemic inflammatory response and respiratory injury.
26298834,,Air Pollutants^D000393^MESH,^^^^Study subjects,France,"air, ambient",Benzene^D001554^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH,Death^D003643^MESH,,"We analyzed the association between long-term exposure to air pollution and mortality in a large French cohort (from 1989-2013), and found that long-term exposure to fine particular matter, nitrogen dioxide, sulfur dioxide and benzene is associated with an increased risk of non-accidental mortality."
26301772,,hexabromocyclododecane^C089796^MESH,,China,dust,hexabromocyclododecane^C089796^MESH,,,"In this study, we reported for the first time the particle size and seasonal variations of hexabromocyclododecanes in indoor and outdoor settled dust."
26305859,,Nitrogen Oxides^D009589^MESH,^^^^Study subjects,Sweden,,Nitrogen Oxides^D009589^MESH,"Alzheimer Disease^D000544^MESH|Dementia, Vascular^D015140^MESH",,We observed associations between dementia incidence and local traffic pollution that remained after adjusting for known risk factors.
26306202,sex,Cadmium^D002104^MESH,Diabetes Mellitus^disease^D003920^MESH^Controls for disease:|Diabetes Mellitus^disease^D003920^MESH^Subjects with disease:|^^^^Study subjects,"Korea, Republic of",blood|urine,Cadmium^D002104^MESH,Diabetes Mellitus^D003920^MESH,,Environmental exposure to cadmium in abandoned metal mine residents was associated with diabetes in males.
26306926,,Arsenic^D001151^MESH|Manganese^D008345^MESH,^^^^Infants or newborns|^^^^Mothers|^^^^Pregnant females,Bangladesh,"blood, cord|hair|nail, toe|water, drinking",Arsenic^D001151^MESH|Manganese^D008345^MESH,,,"Toenails and cord blood appear to be valid biomarkers of maternal-fetal transfer of arsenic and manganese, whereas hair may not be a suitable biomarker for in utero exposure to manganese."
26308089,,Diethylhexyl Phthalate^D004051^MESH|diethyl phthalate^C007379^MESH|mono(2-ethyl-5-hydroxyhexyl) phthalate^C479069^MESH|mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|mono-(2-ethylhexyl)phthalate^C016599^MESH|mono-benzyl phthalate^C103325^MESH|monobutyl phthalate^C028577^MESH|monoethyl phthalate^C581825^MESH|mono-isobutyl phthalate^C575690^MESH|phthalic acid^C032279^MESH,^^^^Children|^^^^Pregnant females|^^^^Study subjects,United States,urine,2-ethyl-5-carboxypentyl phthalate^C051450^MESH|diethyl phthalate^C007379^MESH|mono(2-ethyl-5-hydroxyhexyl) phthalate^C479069^MESH|mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|mono-(2-ethylhexyl)phthalate^C016599^MESH|mono-benzyl phthalate^C103325^MESH|monobutyl phthalate^C028577^MESH|monoethyl phthalate^C581825^MESH|mono-isobutyl phthalate^C575690^MESH|phthalic acid^C032279^MESH,,fat cell proliferation^GO:0070341^GO,"Prenatal phthalate exposures were not associated with increased body fat among children 4-9 years of age, though high prenatal di(2-ethylhexyl) phthalate exposure may be associated with lower fat mass in childhood."
26309242,,bis(4-hydroxyphenyl)sulfone^C543008^MESH|bisphenol A^C006780^MESH,^^^^Workers,United States,paper|urine,bis(4-hydroxyphenyl)sulfone^C543008^MESH|bisphenol A^C006780^MESH,,,Our results indicate that thermal paper is a potential source of exposure to bisphenol A and similar compounds for cashiers and may be a source of exposure for other occupations in which frequent contact with thermal paper occurs.
26315304,,Lead^D007854^MESH,^^^^Pregnant females,Poland,"blood|milk, human",Lead^D007854^MESH,,,Our study established a significant and strong correlation between the content of lead in the blood of the mother and the child.
26317635,,Air Pollutants^D000393^MESH|Nitrogen Dioxide^D009585^MESH,^^^^Infants or newborns|^^^^Pregnant females,Belgium|Spain,"air, ambient|placenta",ND1^4535^GENE|Nitrogen Dioxide^D009585^MESH,Birth Weight^D001724^MESH|Prenatal Exposure Delayed Effects^D011297^MESH,mitochondrial DNA metabolic process^GO:0032042^GO,Our results suggest that changes in mitochondrial DNA content can be one of the potential mediators of the association between prenatal air pollution exposure and birth weight.
26332132,diet,Arsenic^D001151^MESH|Cesium^D002586^MESH|Lithium^D008094^MESH,^^^^Pregnant females,Argentina,"blood|serum|urine|water, drinking",Arsenic^D001151^MESH|Cesium^D002586^MESH|Lithium^D008094^MESH|Triiodothyronine^D014284^MESH|TSHB^7252^GENE|TTR^7276^GENE,,thyroid hormone metabolic process^GO:0042403^GO,The study reports that lithium exposure and cesium exposure through drinking water may impair thyroid function; impaired thyroid function during pregnancy may be detrimental for fetal development.
26335517,sex,Phenols^D010636^MESH,^^^^Children,United States,urine,"2,3-bis(3'-hydroxybenzyl)butyrolactone^C029497^MESH|2,5-dichlorophenol^C056892^MESH|bisphenol A^C006780^MESH|daidzein^C004742^MESH|Genistein^D019833^MESH|oxybenzone^C005290^MESH|Parabens^D010226^MESH|Triclosan^D014260^MESH",,thelarche^GO:0042695^GO,"We estimated relative risk of age at puberty associated with phenol exposures among girls when they were 6-8 years old and followed annually for 7 years; girls experienced breast development 5-6 months later (for enterolactone and benzophenone-3) or 4-9 months sooner (for triclosan and 2,5-dichlorophenol)."
26340795,,bromodichloromethane^C025191^MESH|bromoform^C015044^MESH|chlorodibromomethane^C032707^MESH|Chloroform^D002725^MESH|Trihalomethanes^D022882^MESH,^^^^Infants or newborns|^^^^Pregnant females,China,blood,bromodichloromethane^C025191^MESH|bromoform^C015044^MESH|chlorodibromomethane^C032707^MESH|Chloroform^D002725^MESH|Trihalomethanes^D022882^MESH,Birth Weight^D001724^MESH|Prenatal Exposure Delayed Effects^D011297^MESH,,"We found that elevated maternal blood trihalomethane (THM) concentrations were associated with decreased birth weight, reduced birth length, and increased risk of small for gestational age, suggesting that elevated maternal THM exposure during late pregnancy may adversely affect fetal growth."
26340797,race,bromodichloroacetic acid^C100580^MESH|bromodichloromethane^C025191^MESH|chlorodibromomethane^C032707^MESH|Chloroform^D002725^MESH|Dichloroacetic Acid^D003999^MESH|Trichloroacetic Acid^D014238^MESH|Trihalomethanes^D022882^MESH,^^^^Pregnant females,United Kingdom,,bromodichloroacetic acid^C100580^MESH|bromodichloromethane^C025191^MESH|chlorodibromomethane^C032707^MESH|Chloroform^D002725^MESH|Dichloroacetic Acid^D003999^MESH|Trichloroacetic Acid^D014238^MESH|Trihalomethanes^D022882^MESH,,,"Our findings demonstrate associations between trihalomethane, but not haloacetic acid, exposure during pregnancy and reduced birth weight, but suggest this differs by ethnicity."
26343361,sex,Cadmium^D002104^MESH|Lead^D007854^MESH|Mercury^D008628^MESH,^^^^Study subjects,"Korea, Republic of",blood,Cadmium^D002104^MESH|Lead^D007854^MESH|Mercury^D008628^MESH,Metabolic Syndrome^D024821^MESH,,"We demonstrated a significant association between blood Cadmium level and Metabolic Syndrome in South Korean males after adjustment for confounding by numerous factors including blood Lead, blood Mercury, and serum ferritin."
26358001,,Caffeine^D002110^MESH|Chlorobenzoates^D002723^MESH|chlorsulfuron^C037137^MESH|Cotinine^D003367^MESH|Fyrol PCF^C034906^MESH|hippuric acid^C030514^MESH|meobal^C001699^MESH|octylphenol^C474055^MESH|pirimicarb^C011994^MESH|Styrene^D020058^MESH,^^^^Study subjects,United States,plasma,Caffeine^D002110^MESH|Chlorobenzoates^D002723^MESH|chlorsulfuron^C037137^MESH|Cotinine^D003367^MESH|Fyrol PCF^C034906^MESH|hippuric acid^C030514^MESH|meobal^C001699^MESH|octylphenol^C474055^MESH|pirimicarb^C011994^MESH|Styrene^D020058^MESH,,,"We examined quantification strategies to enhance the usefulness of high-resolution metabolomics data for cumulative exposome research; the results provide a simple reference standardization protocol in which individual chemical concentrations are estimated by comparison to a concurrently analyzed, pooled reference sample with known chemical concentrations."
26359651,age,Arsenic^D001151^MESH,^^^^Infants or newborns|^^^^Pregnant females,United States,"urine|water, drinking",Arsenicals^D001152^MESH|Arsenic^D001151^MESH,"Cough^D003371^MESH|Diarrhea, Infantile^D003968^MESH|Fever^D005334^MESH|Infections^D007239^MESH|Respiratory Sounds^D012135^MESH",,"In utero arsenic exposure was associated with a higher risk of infection during the first year of life in our study population, particularly infections requiring medical treatment, and with diarrhea and respiratory symptoms."
26364793,,Parabens^D010226^MESH,^^^^Infants or newborns|^^^^Pregnant females,United States,"plasma, cord|urine",benzylparaben^C057775^MESH|butylparaben^C038091^MESH|ethyl-p-hydroxybenzoate^C012313^MESH|methylparaben^C015358^MESH|Parabens^D010226^MESH|propylparaben^C006068^MESH,,,"This study is the first to report the occurrence of parabens in human umbilical cord blood; maternal exposure to parabens is widespread, and substantial differences exist between communities and countries both in the spectrum and degree of paraben exposures."
26370657,,Particulate Matter^D052638^MESH,^^^^Study subjects,United States,,Particulate Matter^D052638^MESH,Cardiovascular Diseases^D002318^MESH|Death^D003643^MESH|Respiratory Tract Diseases^D012140^MESH,,"Long-term exposure to particulate matter <= 2.5 microns (PM2.5) air pollution was associated with an increased risk of total and cardiovascular mortality, providing an independent test of the PM2.5-mortality relationship in a new large U.S. prospective cohort experiencing lower post-2000 PM2.5 exposure levels."
26372664,genetics,Radon^D011886^MESH,"Carcinoma, Squamous Cell^disease^D002294^MESH^Controls for disease:|Carcinoma, Squamous Cell^disease^D002294^MESH^Subjects with disease:|Lung Neoplasms^disease^D008175^MESH^Controls for disease:|Lung Neoplasms^disease^D008175^MESH^Subjects with disease:|^^^^Workers",United States,,,"Carcinoma, Squamous Cell^D002294^MESH|Lung Neoplasms^D008175^MESH",,An IL6 promoter variant was associated with lung cancer in uranium miners (exposed to radon) and never smokers in two external study populations; the associations are strongly supported by the functional relevance that the IL6 promoter SNP affects basal expression and carcinogen-induced IL6 secretion.
26372665,,Arsenic^D001151^MESH|Cadmium^D002104^MESH|Cobalt^D003035^MESH|Copper^D003300^MESH|Lead^D007854^MESH|Molybdenum^D008982^MESH|Nickel^D009532^MESH,^^^^Study subjects,China,urine,Arsenic^D001151^MESH|Cadmium^D002104^MESH|Cobalt^D003035^MESH|Copper^D003300^MESH|Lead^D007854^MESH|Molybdenum^D008982^MESH|Nickel^D009532^MESH,,,"The high variability observed in the urinary levels of arsenic, cobalt, copper, lead, molybdenum, and nickel suggests that a single measurement provides only a brief snapshot in time of the exposure levels of an individual, which can result in a moderate degree of exposure misclassification."
26372667,,"diethyl phosphate^C034789^MESH|dimethyl phosphate^C007477^MESH|O,O-diethyl dithiophosphate^C059015^MESH|O,O-dimethyl phosphorodithioate^C040339^MESH|O,O-dimethyl phosphorothionate^C040340^MESH|Organophosphates^D010755^MESH|thiophosphoric acid^C035638^MESH",^^^^Children|^^^^Study subjects,Canada,urine,"diethyl phosphate^C034789^MESH|dimethyl phosphate^C007477^MESH|O,O-diethyl dithiophosphate^C059015^MESH|O,O-dimethyl phosphorodithioate^C040339^MESH|O,O-dimethyl phosphorothionate^C040340^MESH|Organophosphates^D010755^MESH|thiophosphoric acid^C035638^MESH",,respiratory system process^GO:0003016^GO,The negative association between the sum of dialkyl phosphates and lung function in adult participants suggests a detrimental effect of organophosphate pesticides on lung function in the adult general population.
26372668,,bisphenol A^C006780^MESH,^^^^Study subjects,United States,urine,bisphenol A^C006780^MESH,,,"Our goal was to describe the distribution of bisphenol A concentrations in serial urinary specimens, assess temporal variability, and provide estimates of exposure classification when randomly selected samples are used to predict average exposure."
26372669,,"2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabrominated diphenyl ether 153^C517828^MESH|pentabrominated diphenyl ether 100^C517827^MESH|perchlorate^C494474^MESH|thiocyanate^C031760^MESH|Thyroxine^D013974^MESH|tribromodiphenyl ether 28^C533760^MESH",^^^^Workers,United States,serum|urine,"2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabrominated diphenyl ether 153^C517828^MESH|Iodine^D007455^MESH|Lipids^D008055^MESH|pentabrominated diphenyl ether 100^C517827^MESH|perchlorate^C494474^MESH|thiocyanate^C031760^MESH|Thyroxine^D013974^MESH|tribromodiphenyl ether 28^C533760^MESH|Triiodothyronine^D014284^MESH|TSHB^7252^GENE",,thyroid hormone metabolic process^GO:0042403^GO,Our findings suggest that polybrominated diphenyl ether exposure might decrease the binding of thyroxine (T4) to serum T4 binding proteins.
26374656,,Pesticides^D010575^MESH,^^^^Study subjects,United Kingdom,urine,Captan^D002215^MESH|Chlormequat^D002716^MESH|Chlorpyrifos^D004390^MESH|cypermethrin^C017160^MESH,,,"We observed no evidence indicative of additional urinary pesticide biomarker excretion as a result of agricultural spray events, suggesting that sources other than local spraying are responsible for the relatively low urinary pesticide biomarkers detected in the study population."
26376727,,"1,2-dichloroethylene^C035384^MESH|Tetrachloroethylene^D013750^MESH|Trichloroethylene^D014241^MESH|Vinyl Chloride^D014752^MESH",Breast Neoplasms^disease^D001943^MESH^Controls for disease:|Breast Neoplasms^disease^D001943^MESH^Subjects with disease:|^^^^Veterans,United States,,"1,2-dichloroethylene^C035384^MESH|Tetrachloroethylene^D013750^MESH|Trichloroethylene^D014241^MESH",Breast Neoplasms^D001943^MESH,,"Findings suggested possible associations between male breast cancer and being stationed at Camp Lejeune and cumulative exposure to tetrachloroethylene, t-1,2 dichloroethylene, and vinyl chloride."
26382649,,Air Pollutants^D000393^MESH|Vehicle Emissions^D001335^MESH,^^^^Study subjects,China,"air, ambient|urine",1-aminopyrene^C004482^MESH|1-hydroxypyrene^C033146^MESH|1-Naphthylamine^D015057^MESH|2-Naphthylamine^D015081^MESH|Carbon Monoxide^D002248^MESH|Nitrates^D009566^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Polycyclic Aromatic Hydrocarbons^D011084^MESH|pyrene^C030984^MESH|Soot^D053260^MESH|Sulfates^D013431^MESH|Sulfur Dioxide^D013458^MESH,,,"Sampling data for pre-, during-, and post-Olympic time periods in Beijing (China), this study found evidence that 1-naphthylamine and 2-naphthylamine (co-assayed) and 1-hydroxypyrene can be used as biomarkers of exposure to general vehicle-emitted pollutants; more data are needed to confirm 1-aminopyrene as a biomarker of diesel combustion emissions."
26383258,genetics,Pesticides^D010575^MESH,NOS1^gene^4842^GENE^Subjects with gene influence:|Parkinson Disease^disease^D010300^MESH^Controls for disease:|Parkinson Disease^disease^D010300^MESH^Subjects with disease:,United States,,,Parkinson Disease^D010300^MESH,,"We found that organophosphate pesticides were more strongly associated with Parkinson disease among participants with variant genotypes in NOS1, consistent with the importance of oxidative stress-inducing mechanisms."
26383851,sex,Arsenic^D001151^MESH,^^^^Study subjects,Italy,,Arsenic^D001151^MESH,"Death^D003643^MESH|Diabetes Mellitus^D003920^MESH|Lung Neoplasms^D008175^MESH|Myocardial Infarction^D009203^MESH|Peripheral Arterial Disease^D058729^MESH|Pulmonary Disease, Chronic Obstructive^D029424^MESH",,"Results provide new evidence for risk assessment of low-medium concentrations of arsenic and contribute to the ongoing debate about the threshold-dose of effect, suggesting that even concentrations below 10 micrograms per liter carry a mortality risk."
26383853,,Soot^D053260^MESH,^^^^Study subjects,United States,"air, ambient",Soot^D053260^MESH,Death^D003643^MESH,,"We estimated approximately 14,000 deaths to result from the 2010 black carbon (soot) levels, and hundreds of thousands of illness cases, ranging from hospitalizations and emergency department visits to minor respiratory symptoms."
26390122,,Cadmium^D002104^MESH|Iron^D007501^MESH|Zinc^D015032^MESH,Breast Neoplasms^disease^D001943^MESH^Controls for disease:|Breast Neoplasms^disease^D001943^MESH^Subjects with disease:|^^^^Study subjects,Denmark,urine,Cadmium^D002104^MESH|Iron^D007501^MESH|Zinc^D015032^MESH,,,"In this study we test the comparability of dietary cadmium, as estimated via the food frequency questionnaire used in the Danish Diet Cancer and Health Cohort, and measured urinary cadmium levels, normalized by creatinine, in a cohort of 1,764 Danish post-menopausal women that included never, former and current smokers."
26394442,,Organophosphorus Compounds^D009943^MESH,^^^^Children|^^^^Mothers,France,urine,Organophosphorus Compounds^D009943^MESH,,learning or memory^GO:0007611^GO,We found no evidence that prenatal organophosphate exposure adversely affected cognitive function in 6-year-olds.
26406292,sex,bisphenol A^C006780^MESH,^^^^Infants or newborns|^^^^Pregnant females,United States,"blood, cord|plasma",bisphenol A^C006780^MESH,Birth Weight^D001724^MESH,,"Higher unconjugated bisphenol A exposure levels during first trimester and term are associated with sex-specific reduction in birth weight and increase in gestational length, respectively."
26406892,sex,"2,2',4,4',5,5'-hexabrominated diphenyl ether^C478854^MESH|2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|Halogenated Diphenyl Ethers^D055768^MESH|pentabrominated diphenyl ether 100^C517827^MESH|pentabromodiphenyl ether^C086401^MESH|tribromodiphenyl ether 28^C533760^MESH",^^^^Infants or newborns|^^^^Pregnant females,United States,"blood, cord|serum","2,2',4,4',5,5'-hexabrominated diphenyl ether^C478854^MESH|2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|Halogenated Diphenyl Ethers^D055768^MESH|pentabrominated diphenyl ether 100^C517827^MESH|pentabromodiphenyl ether^C086401^MESH|tribromodiphenyl ether 28^C533760^MESH",,DNA methylation^GO:0006306^GO|gene expression^GO:0010467^GO,"Our results suggested that maternal PBDE47 exposure altered CpG site specific DNA methylation at the TNF-alpha promoter, which may contribute to the aberrant TNF-alpha gene expression in the offspring."
26408806,,Iodides^D007454^MESH|Nitrates^D009566^MESH|perchlorate^C494474^MESH|thiocyanate^C031760^MESH,^^^^Pregnant females,United States,serum|urine,Iodides^D007454^MESH|Nitrates^D009566^MESH|perchlorate^C494474^MESH|thiocyanate^C031760^MESH|Thyrotropin^D013972^MESH|Thyroxine^D013974^MESH,,thyroid-stimulating hormone secretion^GO:0070460^GO,"Co-exposure to perchlorate, nitrate and thiocyanate may alter maternal thyroid function, specifically  thyroid stimulating hormone, during pregnancy."
26414943,sex,DDT^D003634^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH,^^^^Children|^^^^Pregnant females,United States,serum,DDT^D003634^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH,Neurobehavioral Manifestations^D019954^MESH|Prenatal Exposure Delayed Effects^D011297^MESH,cognition^GO:0050890^GO,"We conclude that prenatal DDT levels may be associated with delayed processing speed in children at age 7, and the relationship between prenatal DDE levels and children's cognitive development may be modified by sex (with girls being more adversely affected)."
26417717,,Lead^D007854^MESH,^^^^Infants or newborns|^^^^Mothers,United States,,,Prenatal Exposure Delayed Effects^D011297^MESH,DNA methylation involved in gamete generation^GO:0043046^GO,"Our results suggest that lead exposure during pregnancy affects the DNA methylation status of the fetal germ cells, which leads to altered DNA methylation in grandchildren's neonatal dried blood spots."
26418669,genetics|race,Pesticides^D010575^MESH,^^^^Children|PON1^gene^5444^GENE^Subjects with gene influence:|^^^^Pregnant females,United States,urine,diethyl phosphate^C034789^MESH|dimethyl phosphate^C007477^MESH,,behavior^GO:0007610^GO,"We conducted a pooled analysis of four birth cohorts to evaluate associations of prenatal exposure to organophosphorus pesticides with child development at 24 months; however, prenatal exposure and neurodevelopment should be interpreted with caution because of significant heterogeneity in associations by the individual cohort, race/ethnicity, and PON1 genotype."
26421866,,Air Pollutants^D000393^MESH,^^^^Study subjects,Brazil,"air, ambient",Carbon Monoxide^D002248^MESH|Nitrogen Oxides^D009589^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH,Death^D003643^MESH|Respiration Disorders^D012120^MESH,,"Even at nitrogen oxides concentrations below the acceptable standard, there is association with deaths caused by respiratory diseases."
26426028,disease,Cadmium^D002104^MESH,Obesity^disease^D009765^MESH^Controls for disease:|Obesity^disease^D009765^MESH^Subjects with disease:,"Korea, Republic of",blood,Cadmium^D002104^MESH,Osteoporosis^D010024^MESH,,"In the present study, using a representative sample of the Korean population, we investigated the association between environmental cadmium exposure and osteoporosis in aged males, considering the obesity status."
26431883,,"2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|Halogenated Diphenyl Ethers^D055768^MESH|hexabrominated diphenyl ether 153^C517828^MESH|Polybrominated Biphenyls^D011075^MESH",^^^^Infants or newborns|^^^^Pregnant females,United States,serum,"2,2',4,4',5-brominated diphenyl ether^C477694^MESH|2,2',4,4'-tetrabromodiphenyl ether^C511295^MESH|2,4,6-tribromophenol^C004554^MESH|6-OH-BDE-47^C580599^MESH|hexabrominated diphenyl ether 153^C517828^MESH|hexabromodiphenyl ether 154^C533761^MESH|pentabrominated diphenyl ether 100^C517827^MESH|Thyroxine^D013974^MESH|tribromodiphenyl ether 28^C533760^MESH|Triiodothyronine^D014284^MESH|TSHB^7252^GENE",Prenatal Exposure Delayed Effects^D011297^MESH,head development^GO:0060322^GO,"Our data suggest a potential association between maternal polybrominated diphenyl ether levels and decreased infant head circumference (however, this association was attenuated after control for maternal risk factors); confirmatory studies are needed in larger sample sizes, and a mediating role of thyroid hormones was not apparent."
26435731,,Petroleum^D010578^MESH,^^^^Workers,Saudi Arabia,,,,respiratory system process^GO:0003016^GO,"Subjects working in the petroleum refinery have significantly impaired lung functions. However, there was no change in the values of Fractional Exhaled Nitric Oxide between the groups."
26452295,,Vehicle Emissions^D001335^MESH,^^^^Study subjects|^^^^Workers,United States,,,Adenocarcinoma of Lung^D000077192^MESH,,This study provides preliminary evidence of an increased risk of lung adenocarcinoma among daily drivers of diesel tractors and suggests that exposure to endotoxins may modify the impact of diesel exposure on lung cancer risk.
26452298,,Particulate Matter^D052638^MESH,^^^^Children,United States,,Particulate Matter^D052638^MESH,Asthma^D001249^MESH|Respiratory Sounds^D012135^MESH|Respiratory Tract Infections^D012141^MESH,,We observed associations between daily particulate matter <=2.5 microns concentrations and pediatric emergency department visits for asthma or wheeze and for upper respiratory infections.
26452299,race,"3,4,5,3',4',5'-hexachlorobiphenyl^C027309^MESH|3,4,5,3',4'-pentachlorobiphenyl^C023035^MESH|Dioxins^D004147^MESH|Furans^D005663^MESH|Polychlorinated Biphenyls^D011078^MESH",Neoplasms^disease^D009369^MESH^Controls for disease:|Neoplasms^disease^D009369^MESH^Subjects with disease:|^^^^Study subjects,United States,serum,Polychlorinated Biphenyls^D011078^MESH,,regulation of telomere maintenance^GO:0032204^GO,"Our analysis shows that exposure to non-ortho polychlorinated biphenyls and toxic equivalency was associated with increased leukocyte telomere length in our study population of U.S. adults, contributing population-level findings to the evidence that exposure to environmental contaminants may influence telomere regulation."
26452675,tobacco,Particulate Matter^D052638^MESH,,Spain,"air, indoor",Particulate Matter^D052638^MESH,,,"In the observational study, the PM(2.5) median concentration was 9.88 micrograms per cubic meter in the e-cigarette user home and  9.53 and 9.36 micrograms per cubic meter in the smoke-free homes, with PM(2.5) peaks concurrent with the e-cigarette puffs."
26457621,genetics,"Hydrocarbons, Chlorinated^D006843^MESH|Organophosphorus Compounds^D009943^MESH|Pesticides^D010575^MESH",ABCB1^gene^5243^GENE^Subjects with gene influence:|^^^^Workers,United States,,,Parkinson Disease^D010300^MESH,,"This study lends support to a previous report that commonly used pesticides, specifically organochlorines and organophosphorous compounds, and variant ABCB1 genotypes at two polymorphic sites jointly increase risk of Parkinson's Disease."
26459355,tobacco,Benzoic Acid^D019817^MESH|ethyl carbonate^C017858^MESH|Nicotine^D009538^MESH|Propylene Glycol^D019946^MESH|quinoline^C037219^MESH|Tobacco Smoke Pollution^D014028^MESH,^^^^Study subjects,Italy,,,,respiratory gaseous exchange^GO:0007585^GO,The short-term use of the specific brand of nicotine-free e-cigarette assessed in this study had no immediate adverse effects on non-smokers and only small effects on forced expiratory volume in 1 s and forced expiratory flow 25% in smokers.
26485730,,Iodides^D007454^MESH|Nitrates^D009566^MESH|perchlorate^C494474^MESH|thiocyanate^C031760^MESH,^^^^Pregnant females,United States,serum|urine,Iodides^D007454^MESH|Nitrates^D009566^MESH|perchlorate^C494474^MESH|thiocyanate^C031760^MESH|Thyroxine^D013974^MESH|TSHB^7252^GENE,,regulation of thyroid hormone generation^GO:2000609^GO,Our results suggest that environmental perchlorate exposures may affect thyroid hormone production during pregnancy.
26485731,race|socioeconomic status,Air Pollutants^D000393^MESH|Vehicle Emissions^D001335^MESH,^^^^Pregnant females,United States,"air, ambient",Ammonium Compounds^D064751^MESH|Carbon^D002244^MESH|Carbon Monoxide^D002248^MESH|Nitrates^D009566^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Soot^D053260^MESH|Sulfates^D013431^MESH|Sulfur Dioxide^D013458^MESH,Premature Birth^D047928^MESH,,"We investigated associations between 11 ambient air pollutants and the risk of preterm birth in Georgia (U.S.) from 2002-2006; several pollutants were associated with preterm birth, and associations tended to be higher for mothers with low educational attainment and African-American mothers."
26489952,,Radon^D011886^MESH,^^^^Workers,Poland,air,Radon^D011886^MESH,,,The aim of this study has been to preliminary estimate radon concentrations and doses that are possible to derive in the air of the spas that use geothermal water for medicinal and recreation purposes.
26495857,,perfluorodecanoic acid^C036567^MESH|perfluorohexanesulfonic acid^C471071^MESH|perfluorononanoic acid^C584865^MESH|perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH|perfluoroundecanoic acid^C586085^MESH,^^^^Mothers,Denmark,serum,perfluorodecanoic acid^C036567^MESH|perfluorohexanesulfonic acid^C471071^MESH|perfluorononanoic acid^C584865^MESH|perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH|perfluoroundecanoic acid^C586085^MESH,,,"Overall, we did not find strong or consistent associations between perfluoroalkyl acids and birth weight, birth length, or head circumference, though estimated mean birth weights were lower among those with exposures above the lowest quartile for some compounds."
26496294,,Cadmium^D002104^MESH|Lead^D007854^MESH,Renal Insufficiency^disease^D051437^MESH^Subjects with disease:,"Taiwan, Province of China",blood,Cadmium^D002104^MESH|Lead^D007854^MESH,Cardiovascular Diseases^D002318^MESH|Death^D003643^MESH,,This is the first study to show the high blood cadmium level significantly increases the risk of 36-month mortality in maintenance hemodialysis patients.
